COLI_FEC,COLI_TOT,E_COLI,COT,COT_SOL,DBO_SOL,DBO_TOT,DQO_SOL,DQO_TOT,N_NH3,N_NO2,N_NO3,N_ORG,N_TOT,N_TOTK,TOX_D_48_UT,TOX_V_15_UT,P_TOT,ORTO_PO4,COLOR_VER,ABS_UV,SDT,CONDUC_CAMPO,pH_CAMPO,OD_%,OD_mg/L,SST,TURBIEDAD,AS_TOT,CD_TOT,CR_TOT,HG_TOT,NI_TOT,PB_TOT,DUR_TOT,TEMP_AMB,TEMP_AGUA,CLORUROS_TOT,TIPO_CUERPO_AGUA
24000.0,24000.0,2100.0,7.293,5.014,2.0,2.0,10.0,10.0,0.062,0.005,0.398,0.845,1.305,0.907,1.0,1.0,0.0653,0.0503,13.0,0.009,177.92000000000002,278.0,8.6,78.3,6.2,15.0,21.0,0.0015,0.001301,0.00797,0.0002013,0.00239,0.00154,129.0,27.9,28.4,,LÓTICO
2100.0,2100.0,110.0,6.971,2.829,2.0,2.0,10.0,10.0,0.37,0.005,0.577,0.241,1.188,0.611,1.0,1.0,0.0014,0.0015,5.0,0.068,156.16,244.0,8.1,69.3,6.23,25.0,65.0,0.0015,0.001301,0.0012,0.0002013,0.00042,0.00154,144.0,23.5,22.4,,LÓTICO
4600.0,11000.0,2100.0,1.148,0.738,2.0,2.0,10.0,12.0,0.0035,0.005,0.806,0.496,1.302,0.496,1.0,1.0,0.033,0.018,30.0,0.031,131.2,205.0,8.1,79.7,7.14,34.0,32.1,0.0015,0.001301,0.00662,0.0002013,0.00377,0.00154,108.0,38.4,25.4,,LÓTICO
24000.0,24000.0,930.0,4.705,2.259,2.0,2.0,10.0,10.0,0.221,0.005,0.697,0.355,1.273,0.576,1.0,1.0,0.0488,0.0015,5.0,0.061,117.12,183.0,8.0,79.33,6.73,54.0,65.0,0.0015,0.001301,0.0012,0.0002013,0.00042,0.00154,85.0,28.4,25.2,,LÓTICO
24000.0,24000.0,24000.0,4.15,3.71,2.0,2.0,10.0,10.0,0.0035,0.005,0.822,0.0,0.822,0.0035,1.0,1.0,0.0211,0.0015,5.0,0.032,145.92000000000002,228.0,8.1,74.0,8.3,10.0,6.3,0.0015,0.001301,0.0012,0.0002013,0.00042,0.00154,168.0,10.5,12.3,,LÓTICO
430.0,750.0,150.0,3.194,2.277,2.0,2.0,10.0,10.0,0.076,0.005,0.663,0.117,0.856,0.193,1.0,1.0,0.0221,0.0015,5.0,0.009,147.84,231.0,8.3,71.0,5.7,10.0,3.8,0.0015,0.001301,0.01049,0.0002013,0.00162,0.00154,143.0,27.8,24.0,,LÓTICO
2400.0,24000.0,930.0,1.271,1.207,2.0,2.0,10.0,10.0,0.232,0.005,0.65,0.41,1.292,0.642,1.0,1.0,0.108,0.024,5.0,0.037,128.0,200.0,7.7,99.0,7.83,10.0,5.38,0.0015,0.001301,0.03422,0.0002013,0.00447,0.00154,118.0,26.9,21.0,,LÓTICO
24000.0,24000.0,11000.0,9.383,8.356,2.0,11.0,18.9,25.45,0.0035,0.005,0.664,0.179,0.843,0.179,1.0,1.0,0.08,0.021,60.0,0.134,103.68,162.0,7.0,93.6,7.6,80.0,54.1,0.0015,0.001301,0.01685,0.0002013,0.00446,0.00154,54.0,24.8,23.8,,LÓTICO
11000.0,24000.0,4600.0,1.044,0.902,2.0,2.0,10.0,34.28,0.0035,0.005,0.816,0.095,0.9109999999999999,0.095,1.0,1.0,0.174,0.026,10.0,0.038,137.6,215.0,7.4,94.0,7.98,52.0,27.2,0.0015,0.001301,0.02739,0.0002013,0.00593,0.00154,129.28,13.9,21.6,,LÓTICO
4600.0,11000.0,2400.0,4.026,3.003,2.0,2.0,10.0,18.93,0.078,0.005,0.031,3.014,3.0919999999999996,3.0919999999999996,1.0,1.0,0.068,0.045,5.0,0.034,156.16,244.0,7.3,97.2,8.19,11.0,11.7,0.0015,0.001301,0.02261,0.0002013,0.00107,0.00154,120.0,24.0,19.4,,LÓTICO
